0.040004s;I2C, W, Address, 0xd4, Ack,,,
0.040163s;I2C, W, Data, 0x23, Ack,,,
0.040370s;I2C, Repeat start,,,,,,
0.040382s;I2C, R, Address, 0xd5, Ack,,,
0.040546s;I2C, R, Data, 0x01, Nack,,,
0.040708s;I2C, Stop,,,,,,
0.040731s;I2C, Start,,,,,,
0.040743s;I2C, W, Address, 0xd4, Ack,,,
0.040903s;I2C, W, Data, 0x24, Ack,,,
0.041110s;I2C, Repeat start,,,,,,
0.041122s;I2C, R, Address, 0xd5, Ack,,,
0.041290s;I2C, R, Data, 0x45, Nack,,,
0.041443s;I2C, Stop,,,,,,
0.041466s;I2C, Start,,,,,,
0.041480s;I2C, W, Address, 0xd4, Ack,,,
0.041638s;I2C, W, Data, 0x25, Ack,,,
0.041845s;I2C, Repeat start,,,,,,
0.041857s;I2C, R, Address, 0xd5, Ack,,,
0.042019s;I2C, R, Data, 0x00, Nack,,,
0.042174s;I2C, Stop,,,,,,
0.042197s;I2C, Start,,,,,,
0.042209s;I2C, W, Address, 0xd4, Ack,,,
0.042385s;I2C, W, Data, 0x26, Ack,,,
0.042592s;I2C, Repeat start,,,,,,
0.042613s;I2C, R, Address, 0xd5, Ack,,,
0.042777s;I2C, R, Data, 0x31, Nack,,,
0.042930s;I2C, Stop,,,,,,
0.042953s;I2C, Start,,,,,,
0.042965s;I2C, W, Address, 0xd4, Ack,,,
0.043125s;I2C, W, Data, 0x27, Ack,,,
0.043336s;I2C, Repeat start,,,,,,
0.043348s;I2C, R, Address, 0xd5, Ack,,,
0.043512s;I2C, R, Data, 0xff, Nack,,,
0.043665s;I2C, Stop,,,,,,
0.043837s;I2C, Start,,,,,,
0.043850s;I2C, W, Address, 0x3c, Ack,,,
0.044009s;I2C, W, Data, 0x68, Ack,,,
0.044214s;I2C, Repeat start,,,,,,
0.044227s;I2C, R, Address, 0x3d, Ack,,,
0.044392s;I2C, R, Data, 0x1a, Nack,,,
0.044546s;I2C, Stop,,,,,,
0.044567s;I2C, Start,,,,,,
0.044587s;I2C, W, Address, 0x3c, Ack,,,
0.044747s;I2C, W, Data, 0x69, Ack,,,
0.044954s;I2C, Repeat start,,,,,,
0.044966s;I2C, R, Address, 0x3d, Ack,,,
0.045134s;I2C, R, Data, 0x00, Nack,,,
0.045292s;I2C, Stop,,,,,,
0.045314s;I2C, Start,,,,,,
0.045326s;I2C, W, Address, 0x3c, Ack,,,
0.045490s;I2C, W, Data, 0x6a, Ack,,,
0.045697s;I2C, Repeat start,,,,,,
0.045709s;I2C, R, Address, 0x3d, Ack,,,
0.045873s;I2C, R, Data, 0x34, Nack,,,
0.046027s;I2C, Stop,,,,,,
0.046049s;I2C, Start,,,,,,
0.046062s;I2C, W, Address, 0x3c, Ack,,,
0.046221s;I2C, W, Data, 0x6b, Ack,,,
0.046428s;I2C, Repeat start,,,,,,
0.046440s;I2C, R, Address, 0x3d, Ack,,,
0.046619s;I2C, R, Data, 0x00, Nack,,,
0.046772s;I2C, Stop,,,,,,
0.046795s;I2C, Start,,,,,,
0.046809s;I2C, W, Address, 0x3c, Ack,,,
0.046967s;I2C, W, Data, 0x6c, Ack,,,
0.047174s;I2C, Repeat start,,,,,,
0.047186s;I2C, R, Address, 0x3d, Ack,,,
0.047356s;I2C, R, Data, 0x1d, Nack,,,
0.047510s;I2C, Stop,,,,,,
0.047532s;I2C, Start,,,,,,
0.047546s;I2C, W, Address, 0x3c, Ack,,,
0.047704s;I2C, W, Data, 0x6d, Ack,,,
0.047911s;I2C, Repeat start,,,,,,
0.047923s;I2C, R, Address, 0x3d, Ack,,,
0.048085s;I2C, R, Data, 0xfe, Nack,,,
0.048241s;I2C, Stop,,,,,,
0.067265s;I2C, Start,,,,,,
0.067279s;I2C, W, Address, 0xd4, Ack,,,
0.067437s;I2C, W, Data, 0x1e, Ack,,,
0.067643s;I2C, Repeat start,,,,,,
0.067656s;I2C, R, Address, 0xd5, Ack,,,
0.067824s;I2C, R, Data, 0x07, Nack,,,
0.067975s;I2C, Stop,,,,,,
0.068000s;I2C, Start,,,,,,
0.068012s;I2C, W, Address, 0xd4, Ack,,,
0.068172s;I2C, W, Data, 0x28, Ack,,,
0.068379s;I2C, Repeat start,,,,,,
0.068391s;I2C, R, Address, 0xd5, Ack,,,
0.068563s;I2C, R, Data, 0x8c, Nack,,,
0.068719s;I2C, Stop,,,,,,
0.068741s;I2C, Start,,,,,,
0.068753s;I2C, W, Address, 0xd4, Ack,,,
0.068913s;I2C, W, Data, 0x29, Ack,,,
0.069116s;I2C, Repeat start,,,,,,
0.069128s;I2C, R, Address, 0xd5, Ack,,,
0.069302s;I2C, R, Data, 0x01, Nack,,,
0.069456s;I2C, Stop,,,,,,
0.069478s;I2C, Start,,,,,,
0.069493s;I2C, W, Address, 0xd4, Ack,,,
0.069650s;I2C, W, Data, 0x2a, Ack,,,
0.069857s;I2C, Repeat start,,,,,,
0.069870s;I2C, R, Address, 0xd5, Ack,,,
0.070035s;I2C, R, Data, 0x6e, Nack,,,
0.070189s;I2C, Stop,,,,,,
0.070212s;I2C, Start,,,,,,
0.070224s;I2C, W, Address, 0xd4, Ack,,,
0.070384s;I2C, W, Data, 0x2b, Ack,,,
0.070609s;I2C, Repeat start,,,,,,
0.070621s;I2C, R, Address, 0xd5, Ack,,,
0.070785s;I2C, R, Data, 0x00, Nack,,,
0.070941s;I2C, Stop,,,,,,
0.070963s;I2C, Start,,,,,,
0.070975s;I2C, W, Address, 0xd4, Ack,,,
0.071135s;I2C, W, Data, 0x2c, Ack,,,
0.071346s;I2C, Repeat start,,,,,,
0.071358s;I2C, R, Address, 0xd5, Ack,,,
0.071522s;I2C, R, Data, 0x69, Nack,,,
0.071678s;I2C, Stop,,,,,,
0.071700s;I2C, Start,,,,,,
0.071713s;I2C, W, Address, 0xd4, Ack,,,
0.071873s;I2C, W, Data, 0x2d, Ack,,,
0.072075s;I2C, Repeat start,,,,,,
0.072088s;I2C, R, Address, 0xd5, Ack,,,
0.072251s;I2C, R, Data, 0x41, Nack,,,
0.072413s;I2C, Stop,,,,,,
0.072438s;I2C, Start,,,,,,
0.072450s;I2C, W, Address, 0xd4, Ack,,,
0.072641s;I2C, W, Data, 0x1e, Ack,,,
0.072847s;I2C, Repeat start,,,,,,
0.072860s;I2C, R, Address, 0xd5, Ack,,,
0.073028s;I2C, R, Data, 0x06, Nack,,,
0.073181s;I2C, Stop,,,,,,
0.073208s;I2C, Start,,,,,,
0.073220s;I2C, W, Address, 0xd4, Ack,,,
0.073380s;I2C, W, Data, 0x22, Ack,,,
0.073587s;I2C, Repeat start,,,,,,
0.073599s;I2C, R, Address, 0xd5, Ack,,,
0.073763s;I2C, R, Data, 0x45, Nack,,,
0.073916s;I2C, Stop,,,,,,
0.073939s;I2C, Start,,,,,,
0.073951s;I2C, W, Address, 0xd4, Ack,,,
0.074111s;I2C, W, Data, 0x23, Ack,,,
0.074318s;I2C, Repeat start,,,,,,
0.074330s;I2C, R, Address, 0xd5, Ack,,,
0.074494s;I2C, R, Data, 0x01, Nack,,,
0.074656s;I2C, Stop,,,,,,
0.074678s;I2C, Start,,,,,,
0.074691s;I2C, W, Address, 0xd4, Ack,,,
0.074850s;I2C, W, Data, 0x24, Ack,,,
0.075055s;I2C, Repeat start,,,,,,
0.075067s;I2C, R, Address, 0xd5, Ack,,,
0.075237s;I2C, R, Data, 0x48, Nack,,,
0.075399s;I2C, Stop,,,,,,
0.075424s;I2C, Start,,,,,,
